subj_id,Status,Started.at,Completed.at,Reviewed.at,Archived.at,Time.taken,Completion.code,Total.approvals,Age,Sex,Ethnicity.simplified,Country.of.birth,Ethnicity,Nationality,Language,Student.status,Employment.status
233250,APPROVED,2022-11-16T11:39:38.268000Z,2022-11-16T11:53:12.861000Z,2022-11-16T12:45:15.479000,2022-11-16T11:53:13.246148Z,815,3092805E,442,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233217,APPROVED,2022-11-16T11:37:43.574000Z,2022-11-16T11:58:42.450000Z,2022-11-16T12:45:15.577000,2022-11-16T11:58:42.855111Z,1259,3092805E,67,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233218,APPROVED,2022-11-16T11:37:43.792000Z,2022-11-16T11:51:09.897000Z,2022-11-16T12:45:15.682000,2022-11-16T11:51:10.260662Z,807,3092805E,855,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233219,APPROVED,2022-11-16T11:37:44.754000Z,2022-11-16T11:53:21.014000Z,2022-11-16T12:45:15.780000,2022-11-16T11:53:21.446065Z,937,3092805E,1120,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233224,APPROVED,2022-11-16T11:37:47.967000Z,2022-11-16T11:53:06.903000Z,2022-11-16T12:45:15.878000,2022-11-16T11:53:07.351283Z,919,3092805E,1241,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233223,APPROVED,2022-11-16T11:37:48.376000Z,2022-11-16T11:52:06.741000Z,2022-11-16T12:45:15.976000,2022-11-16T11:52:07.171604Z,859,3092805E,2060,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
233246,APPROVED,2022-11-16T11:38:53.137000Z,2022-11-16T11:52:35.929000Z,2022-11-16T12:45:16.312000,2022-11-16T11:52:36.316627Z,823,3092805E,99,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233238,APPROVED,2022-11-16T11:38:20.012000Z,2022-11-16T11:52:33.625000Z,2022-11-16T12:45:16.403000,2022-11-16T11:52:33.951849Z,854,3092805E,1469,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233221,APPROVED,2022-11-16T11:37:48.847000Z,2022-11-16T11:50:24.347000Z,2022-11-16T12:45:16.494000,2022-11-16T11:50:26.142282Z,756,3092805E,458,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233247,APPROVED,2022-11-16T11:37:48.539000Z,2022-11-16T12:05:02.250000Z,2022-11-16T12:45:16.592000,2022-11-16T12:05:02.614709Z,1634,3092805E,490,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
233228,APPROVED,2022-11-16T11:37:52.743000Z,2022-11-16T11:49:52.985000Z,2022-11-16T12:45:16.688000,2022-11-16T11:49:53.368336Z,721,3092805E,311,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233254,APPROVED,2022-11-16T11:37:47.631000Z,2022-11-16T11:57:08.453000Z,2022-11-16T12:45:16.787000,2022-11-16T11:57:09.171735Z,1161,3092805E,979,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233252,APPROVED,2022-11-16T11:41:04.666000Z,2022-11-16T11:52:26.440000Z,2022-11-16T12:45:16.883000,2022-11-16T11:52:26.848378Z,682,3092805E,34,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233222,APPROVED,2022-11-16T11:37:48.834000Z,2022-11-16T11:51:01.177000Z,2022-11-16T12:45:16.983000,2022-11-16T11:51:01.572419Z,793,3092805E,533,32,Female,White,France,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233241,APPROVED,2022-11-16T11:38:29.539000Z,2022-11-16T11:52:45.414000Z,2022-11-16T12:45:17.080000,2022-11-16T11:52:45.801729Z,856,3092805E,39,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233242,APPROVED,2022-11-16T11:37:50.245000Z,2022-11-16T11:53:08.892000Z,2022-11-16T12:45:17.174000,2022-11-16T11:53:09.306828Z,919,3092805E,939,35,Female,White,Poland,United Kingdom,United Kingdom,English,No,Full-Time
233240,APPROVED,2022-11-16T11:37:55.967000Z,2022-11-16T11:50:59.956000Z,2022-11-16T12:45:17.269000,2022-11-16T11:51:00.331034Z,784,3092805E,579,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233236,APPROVED,2022-11-16T11:38:02.539000Z,2022-11-16T11:53:41.933000Z,2022-11-16T12:45:17.368000,2022-11-16T11:53:42.350362Z,940,3092805E,448,32,Female,Asian,Singapore,United Kingdom,Singapore,English,DATA_EXPIRED,DATA_EXPIRED
233229,APPROVED,2022-11-16T11:37:55.125000Z,2022-11-16T11:49:56.325000Z,2022-11-16T12:45:17.466000,2022-11-16T11:49:56.749180Z,722,3092805E,92,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233237,APPROVED,2022-11-16T11:37:53.528000Z,2022-11-16T11:56:05.024000Z,2022-11-16T12:45:17.564000,2022-11-16T11:56:05.431055Z,1092,3092805E,27,22,Male,White,United Kingdom,United Kingdom,Latvia,English,No,Unemployed (and job seeking)
233230,APPROVED,2022-11-16T11:37:55.859000Z,2022-11-16T11:51:14.985000Z,2022-11-16T12:45:17.669000,2022-11-16T11:51:15.325413Z,800,3092805E,1022,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233232,APPROVED,2022-11-16T11:37:56.677000Z,2022-11-16T11:50:41.416000Z,2022-11-16T12:45:17.767000,2022-11-16T11:50:41.794597Z,765,3092805E,313,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233249,APPROVED,2022-11-16T11:39:25.048000Z,2022-11-16T12:32:01.339000Z,2022-11-16T12:45:17.864000,2022-11-16T12:32:01.728292Z,3157,3092805E,953,30,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233256,APPROVED,2022-11-16T11:44:30.280000Z,2022-11-16T12:05:22.104000Z,2022-11-16T12:45:17.958000,2022-11-16T12:05:22.478828Z,1252,3092805E,422,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233257,APPROVED,2022-11-16T11:45:19.538000Z,2022-11-16T11:58:15.648000Z,2022-11-16T12:45:18.055000,2022-11-16T11:58:16.004831Z,777,3092805E,90,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233260,APPROVED,2022-11-16T11:52:12.149000Z,2022-11-16T12:04:44.514000Z,2022-11-16T12:45:18.154000,2022-11-16T12:04:44.906741Z,753,3092805E,179,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233307,APPROVED,2022-11-16T12:45:07.509000Z,2022-11-16T12:55:57.494000Z,2022-11-17T08:27:06.310000,2022-11-16T12:55:57.946038Z,650,3092805E,762,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
234440,APPROVED,2022-11-16T13:05:33.297000Z,2022-11-16T13:19:44.012000Z,2022-11-17T08:27:06.396000,2022-11-16T13:19:44.328521Z,851,3092805E,1280,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233317,APPROVED,2022-11-16T13:05:29.631000Z,2022-11-16T13:32:47.204000Z,2022-11-17T08:27:06.475000,2022-11-16T13:32:48.837286Z,1638,3092805E,294,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
233319,APPROVED,2022-11-16T13:05:32.480000Z,2022-11-16T13:20:09.467000Z,2022-11-17T08:27:06.557000,2022-11-16T13:20:09.853795Z,877,3092805E,192,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233322,APPROVED,2022-11-16T13:05:35.079000Z,2022-11-16T13:23:38.451000Z,2022-11-17T08:27:06.638000,2022-11-16T13:23:39.016666Z,1084,3092805E,379,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233323,APPROVED,2022-11-16T13:05:36.314000Z,2022-11-16T13:18:47.937000Z,2022-11-17T08:27:06.718000,2022-11-16T13:18:48.317279Z,792,3092805E,224,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233331,APPROVED,2022-11-16T13:05:44.434000Z,2022-11-16T13:17:01.047000Z,2022-11-17T08:27:06.796000,2022-11-16T13:17:01.461008Z,677,3092805E,2106,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
233347,APPROVED,2022-11-16T13:05:40.523000Z,2022-11-16T13:20:30.177000Z,2022-11-17T08:27:06.873000,2022-11-16T13:20:30.568438Z,890,3092805E,163,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
233340,APPROVED,2022-11-16T13:05:37.723000Z,2022-11-16T13:25:06.160000Z,2022-11-17T08:27:06.953000,2022-11-16T13:25:06.545545Z,1169,3092805E,316,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233320,APPROVED,2022-11-16T13:05:33.953000Z,2022-11-16T13:25:42.459000Z,2022-11-17T08:27:07.032000,2022-11-16T13:25:42.823687Z,1209,3092805E,201,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233350,APPROVED,2022-11-16T13:05:35.115000Z,2022-11-16T13:24:36.211000Z,2022-11-17T08:27:07.112000,2022-11-16T13:24:36.565180Z,1142,3092805E,520,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
233343,APPROVED,2022-11-16T13:05:38.017000Z,2022-11-16T13:18:38.664000Z,2022-11-17T08:27:07.190000,2022-11-16T13:18:39.115212Z,781,3092805E,723,22,Female,Asian,United Kingdom,United Kingdom,Pakistan,English,No,Full-Time
233349,APPROVED,2022-11-16T13:06:33.818000Z,2022-11-16T13:19:54.867000Z,2022-11-17T08:27:07.270000,2022-11-16T13:19:55.532981Z,802,3092805E,154,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233338,APPROVED,2022-11-16T13:05:57.089000Z,2022-11-16T13:19:34.248000Z,2022-11-17T08:27:07.352000,2022-11-16T13:19:34.658173Z,818,3092805E,77,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233325,APPROVED,2022-11-16T13:05:39.592000Z,2022-11-16T13:23:45.755000Z,2022-11-17T08:27:07.435000,2022-11-16T13:23:46.114476Z,1087,3092805E,865,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233351,APPROVED,2022-11-16T13:05:40.318000Z,2022-11-16T13:19:31.067000Z,2022-11-17T08:27:07.514000,2022-11-16T13:19:31.430167Z,831,3092805E,168,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
